avgwordsen|avgchrword|avgsylword|nounperc|verbperc|pronperc|adjperc|conjperc|entropy|surprisal
Tom 4. Prikliuchieniia Toma Soiiera. Zhizn_ na Missisipi - Mark Tvien.txt:15.20447|5.122|2.25754|0.24984|0.17198|0.09243|0.09354|0.09231|10.30375|24.53911
Tom 5. Pieshkom po Ievropie. Prints i nishchii. - Mark Tvien.txt:16.0965|5.26521|2.32031|0.25605|0.16063|0.09363|0.10951|0.08566|10.53527|25.75761
Tom 6. Prikliuchieniia Giekl_bierri Finna. Iikuta pri dvorie korolia Artura - Mark Tvien.txt:15.14118|4.82091|2.12143|0.21145|0.18982|0.12257|0.07179|0.10136|9.84571|22.19061
Tom 7. Amierikanskii prietiendient.Tom Soiieranitsiei. Prostofilia Vil_son. - Mark Tvien.txt:14.09222|5.04218|2.216|0.22906|0.17586|0.11357|0.0817|0.09464|10.01669|23.66767
Tom 9. Po ekvatoru. Tainstviennyi nieznakomiets - Mark Tvien.txt:16.35865|5.32231|2.35932|0.27054|0.15665|0.09002|0.10754|0.08673|10.48625|25.37672
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 1 - Lit-Classic.Com.txt:11.90629|5.26205|2.31793|0.26248|0.18196|0.10851|0.08075|0.07864|9.93815|21.84833
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 10 - Lit-Classic.Com.txt:12.22729|5.31387|2.34804|0.29996|0.1741|0.09329|0.08768|0.07505|10.43932|23.72619
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 11 - Lit-Classic.Com.txt:16.03315|5.44917|2.41436|0.29165|0.16726|0.08505|0.09335|0.08025|10.43864|23.93742
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 12 - Lit-Classic.Com.txt:15.13628|5.47612|2.41874|0.2974|0.16961|0.08186|0.09262|0.0798|10.37342|23.98277
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 2 - Lit-Classic.Com.txt:10.46895|5.13133|2.26308|0.25642|0.18965|0.10962|0.07441|0.07814|9.84535|21.23469
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 3 - Lit-Classic.Com.txt:10.10147|5.24116|2.29848|0.26619|0.18246|0.10833|0.0791|0.07361|10.00515|22.26953
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 4 - Lit-Classic.Com.txt:11.14212|5.23317|2.30934|0.25727|0.17904|0.1143|0.08119|0.07652|9.96376|21.55994
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 5 - Lit-Classic.Com.txt:13.18067|5.21812|2.29169|0.27986|0.17387|0.09208|0.0896|0.0831|10.18309|22.34815
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 6 - Lit-Classic.Com.txt:10.88548|5.16245|2.26273|0.25979|0.18089|0.10827|0.08102|0.07645|10.02311|21.89943
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 7 - Lit-Classic.Com.txt:11.86188|5.22429|2.29085|0.2589|0.17478|0.10426|0.08942|0.07694|10.2608|23.30427
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 8 - Lit-Classic.Com.txt:12.93721|5.19759|2.28054|0.26041|0.1812|0.11038|0.08497|0.08096|10.0705|21.98835
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 9 - Lit-Classic.Com.txt:14.72307|5.1949|2.29204|0.26278|0.17973|0.10272|0.08223|0.0796|10.20318|22.34568
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 1 - Lit-Classic.Com.txt:12.87185|5.09797|2.25238|0.27443|0.17389|0.09076|0.0955|0.08908|10.28314|24.4826
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 10 - Lit-Classic.Com.txt:10.44285|5.11123|2.23943|0.25912|0.19169|0.0999|0.08739|0.08043|10.34537|24.48804
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 11 - Lit-Classic.Com.txt:13.52515|5.14939|2.27953|0.26024|0.16895|0.10428|0.0994|0.08514|10.3655|23.97205
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 12 - Lit-Classic.Com.txt:12.23018|5.14923|2.27263|0.25548|0.17862|0.1029|0.09221|0.08534|10.32452|24.43394
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 13 - Lit-Classic.Com.txt:14.1147|5.25256|2.30639|0.27951|0.17042|0.081|0.1|0.08435|10.44853|24.79439
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 14 - Lit-Classic.Com.txt:13.07398|5.12858|2.27126|0.26703|0.17039|0.09993|0.08832|0.08603|10.2389|23.97277
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 2 - DzhiekLondon.txt:11.4693|5.1323|2.2595|0.2554|0.18594|0.10573|0.08726|0.08458|10.17355|24.34418
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 3 - Lit-Classic.ComLondon.txt:14.7533|5.17716|2.27808|0.27358|0.17065|0.08765|0.09489|0.08789|10.44001|25.5201
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 4 - Lit-Oboz.Ru.txt:12.82992|5.04539|2.21454|0.25065|0.18843|0.10672|0.08606|0.08649|9.98345|22.90767
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 5 - Lit-Classic.Com.txt:11.97861|5.03274|2.2282|0.24041|0.18537|0.11312|0.08843|0.0849|10.16178|23.72603
